,whole,whole,whole,whole,whole,whole,whole,whole,whole,whole,whole,mouth,mouth,mouth,mouth,mouth,mouth,mouth,mouth,mouth,mouth,mouth,eyes,eyes,eyes,eyes,eyes,eyes,eyes,eyes,eyes,eyes,eyes
grade,m00,m01,m02,m03,m04,m05,m06,m07,m08,m09,m10,m00,m01,m02,m03,m04,m05,m06,m07,m08,m09,m10,m00,m01,m02,m03,m04,m05,m06,m07,m08,m09,m10
p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p019,10.0,0.0,5.0,10.0,30.0,55.0,80.0,95.0,95.0,100.0,100.0,40.0,30.0,40.0,35.0,50.0,50.0,75.0,80.0,80.0,75.0,85.0,10.0,5.0,25.0,25.0,30.0,45.0,65.0,90.0,90.0,100.0,100.0
p020,35.0,40.0,40.0,45.0,50.0,60.0,75.0,85.0,85.0,85.0,90.0,20.0,45.0,20.0,35.0,45.0,40.0,40.0,50.0,30.0,50.0,35.0,30.0,30.0,45.0,50.0,70.0,55.0,55.0,75.0,90.0,80.0,85.0
p021,5.0,5.0,5.0,10.0,15.0,35.0,50.0,65.0,90.0,95.0,100.0,10.0,25.0,20.0,25.0,35.0,45.0,45.0,45.0,60.0,80.0,75.0,5.0,5.0,5.0,5.0,5.0,15.0,25.0,45.0,70.0,90.0,95.0
p022,10.0,10.0,10.0,15.0,40.0,50.0,70.0,90.0,90.0,100.0,100.0,25.0,25.0,20.0,25.0,45.0,50.0,80.0,85.0,80.0,90.0,90.0,5.0,0.0,10.0,15.0,45.0,50.0,60.0,75.0,100.0,100.0,100.0
p023,5.0,0.0,10.0,15.0,25.0,45.0,60.0,90.0,95.0,100.0,100.0,15.0,10.0,10.0,20.0,30.0,30.0,50.0,65.0,60.0,70.0,70.0,0.0,15.0,0.0,20.0,20.0,45.0,70.0,90.0,90.0,90.0,100.0
p024,10.0,15.0,15.0,15.0,30.0,60.0,75.0,95.0,95.0,100.0,100.0,45.0,45.0,45.0,50.0,50.0,60.0,70.0,80.0,90.0,95.0,100.0,10.0,5.0,20.0,30.0,35.0,55.0,70.0,95.0,100.0,100.0,100.0
p025,20.0,20.0,35.0,25.0,35.0,50.0,55.0,75.0,85.0,90.0,100.0,40.0,35.0,35.0,40.0,40.0,40.0,45.0,65.0,55.0,55.0,60.0,20.0,20.0,15.0,40.0,30.0,45.0,35.0,70.0,90.0,90.0,90.0
p026,10.0,0.0,10.0,10.0,20.0,40.0,70.0,85.0,95.0,100.0,100.0,20.0,20.0,15.0,30.0,35.0,40.0,55.0,50.0,65.0,80.0,75.0,10.0,25.0,20.0,25.0,35.0,50.0,65.0,75.0,100.0,90.0,100.0
p027,15.0,15.0,20.0,30.0,20.0,50.0,70.0,95.0,95.0,100.0,100.0,20.0,40.0,35.0,50.0,70.0,75.0,85.0,90.0,85.0,95.0,90.0,10.0,30.0,30.0,45.0,55.0,65.0,65.0,85.0,85.0,100.0,100.0
p028,5.0,5.0,5.0,10.0,30.0,25.0,55.0,60.0,90.0,100.0,95.0,40.0,30.0,25.0,25.0,50.0,50.0,70.0,65.0,75.0,75.0,85.0,5.0,10.0,15.0,15.0,25.0,25.0,35.0,65.0,85.0,95.0,90.0
p029,0.0,10.0,10.0,10.0,30.0,30.0,65.0,75.0,95.0,95.0,100.0,5.0,10.0,15.0,15.0,35.0,30.0,50.0,60.0,70.0,90.0,75.0,5.0,5.0,15.0,10.0,20.0,35.0,65.0,75.0,90.0,90.0,100.0
p030,25.0,15.0,35.0,50.0,50.0,70.0,85.0,90.0,100.0,100.0,100.0,60.0,70.0,55.0,70.0,90.0,75.0,75.0,85.0,80.0,100.0,90.0,30.0,45.0,45.0,50.0,55.0,65.0,70.0,75.0,70.0,85.0,80.0
