,eyes,eyes,eyes,eyes,eyes,eyes,eyes,eyes,eyes,eyes,eyes,mouth,mouth,mouth,mouth,mouth,mouth,mouth,mouth,mouth,mouth,mouth,whole,whole,whole,whole,whole,whole,whole,whole,whole,whole,whole
,m00,m01,m02,m03,m04,m05,m06,m07,m08,m09,m10,m00,m01,m02,m03,m04,m05,m06,m07,m08,m09,m10,m00,m01,m02,m03,m04,m05,m06,m07,m08,m09,m10
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p009,0.0115829763691,0.026795616921,0.0607597725793,0.131938014175,0.263138690533,0.456235775405,0.663449924478,0.822432978639,0.915840723518,0.962360813997,0.983626083251,0.0617510978611,0.0786500954595,0.117990971423,0.201933381623,0.351906162668,0.550809505714,0.73144958433,0.847136587653,0.905578003563,0.931583288303,0.94249818482,0.00253897650047,0.00791129469884,0.0243733388978,0.072583901391,0.196908701417,0.434430483359,0.706435322819,0.88288769097,0.95937878743,0.98666484355,0.995704392675
p010,0.312714777287,0.343557677959,0.386324265919,0.442436711732,0.510953128592,0.587636730869,0.665527473628,0.737226481692,0.797487071122,0.844380635656,0.878732590379,0.40486930804,0.431714842439,0.468831743922,0.517363843585,0.576391106473,0.642177180863,0.708724830593,0.769760657432,0.820912368203,0.860637744348,0.889703373415,0.256482609313,0.265434512688,0.286147207316,0.331569203663,0.420440101453,0.561075984657,0.723040004069,0.853403577911,0.931315308435,0.969885773565,0.987203481947
p011,0.101535150634,0.104580183575,0.113573910813,0.139449812495,0.208609068143,0.362085831865,0.596403566927,0.807777959834,0.92514352604,0.973528966217,0.990981054083,0.249634590913,0.292762507368,0.365118410326,0.472191561282,0.604464015565,0.735767222654,0.840654774792,0.910836128375,0.952403535851,0.975266845361,0.987332499849,0.00201429957669,0.00704789198243,0.0243531300036,0.0806960799115,0.235877911664,0.520513557894,0.79242643427,0.930676475703,0.979258130917,0.994012968286,0.998290200751
p012,0.13355961585,0.162989959813,0.214606534596,0.297884819962,0.415698774676,0.554742430064,0.687669280105,0.791476090562,0.860463996048,0.901533445864,0.924398859055,0.366179411997,0.381345394178,0.409395224998,0.45815752014,0.534450132383,0.636139114478,0.746181510989,0.841391185406,0.909082630031,0.950778362831,0.974233253829,0.0715303369296,0.0998036094057,0.160775146078,0.277524258132,0.457562697512,0.659816197108,0.819968939597,0.915208100013,0.96251700263,0.983920854054,0.993193664761
p013,0.0130600683978,0.0280711285458,0.0592990366227,0.120943736314,0.23093935782,0.395917270322,0.588556907818,0.757406279046,0.872029164524,0.936998861277,0.970114423457,0.376017279116,0.411119273533,0.457969159646,0.51663115312,0.584482161882,0.656121249393,0.724832810586,0.784925826755,0.833383467021,0.869964099295,0.896226833304,0.00965178148611,0.0214717788829,0.0470429095054,0.0997941932276,0.198682223826,0.354681670718,0.544412557827,0.713923033442,0.828411085622,0.891895733626,0.923301710826
p014,0.0599506101157,0.0736526791589,0.105055502847,0.17233082651,0.297712762043,0.480469188294,0.669916845437,0.808119490564,0.885250925054,0.92199958883,0.938186359426,0.0692142566709,0.0860640657876,0.116348643502,0.167865976291,0.247810506174,0.355751713516,0.477042219378,0.588161238317,0.672465818384,0.727725815921,0.760559045424,0.0540556471711,0.0614615130214,0.0819344076821,0.135639721047,0.259092975946,0.473346511683,0.711214187057,0.873698961764,0.951471685903,0.982378611471,0.99373813013
p015,0.0707132764452,0.0887909165548,0.121433141431,0.177694211905,0.267306661576,0.393534232774,0.543680344732,0.690178529152,0.807941630794,0.888723523215,0.938293874469,0.238921533814,0.259740444792,0.289532885983,0.329802321826,0.380231050766,0.437673294008,0.496450579655,0.550350383365,0.595031272048,0.629072509693,0.6533771346,0.0608429249659,0.0750116531487,0.106579605639,0.172705027546,0.294925874649,0.476172868251,0.673027370567,0.826091999502,0.917043691153,0.962714046513,0.98371355619
p016,0.0534220528075,0.0598262120884,0.0778625788983,0.126317958389,0.24153795901,0.450891496474,0.694597650823,0.86623269651,0.949035790078,0.981730322784,0.993599986344,0.466976330755,0.487126850068,0.527708584765,0.599700889385,0.702703217542,0.812413096798,0.897981697311,0.94991232637,0.976778808295,0.989536044956,0.995346633804,0.0184509979772,0.0398377402287,0.0838952525897,0.168144392713,0.308506702581,0.496154077993,0.684891175917,0.827507983868,0.913709541339,0.958968556454,0.980983441775
p019,0.0691839046367,0.0901267801322,0.131920610772,0.209608588301,0.336643150566,0.506402278682,0.681056732385,0.818489191386,0.905564129333,0.95340017517,0.977638417589,0.309286619639,0.32064645007,0.344752069419,0.392105051664,0.472460328982,0.58004474324,0.686106307121,0.763385808614,0.808173696099,0.830763359771,0.841360162718,0.00418895771031,0.013016529122,0.0397050929447,0.114752598498,0.288964943336,0.560269516946,0.799781333005,0.926054212686,0.975163065448,0.991941567688,0.997415453866
p020,0.352838555665,0.381366139966,0.421865399148,0.475693965837,0.541299697273,0.613313694491,0.683822463641,0.745539089227,0.794480134006,0.830338738039,0.855117646283,0.29973914599,0.314663985143,0.330368275039,0.346522994814,0.362758821914,0.378698998163,0.393993606828,0.408348820747,0.421546239723,0.433450289807,0.444004622664,0.357694082068,0.36769705996,0.389751522061,0.434906692148,0.514789552741,0.625336046368,0.735774040444,0.815443665905,0.860428361559,0.882386467868,0.892342912149
p021,0.0501777128618,0.0505886865243,0.0519480085649,0.0564236912848,0.0709427547258,0.115859649104,0.236656331638,0.467988817329,0.717675798956,0.864483935356,0.922362513358,0.148341653494,0.173908405672,0.210699828931,0.261093559661,0.325643941745,0.401584838647,0.482476174963,0.560013037535,0.627171605118,0.68042171582,0.71976214846,0.05342046568,0.0585442315316,0.0711715930543,0.101441022991,0.169422974528,0.302045966796,0.501830217862,0.710184100279,0.858656381774,0.938188089058,0.974386102226
p022,0.0266926557511,0.0535710914975,0.104606171438,0.194279990128,0.332297788393,0.506703200041,0.679492294779,0.813977447974,0.900311448509,0.949083758073,0.974665821606,0.203292911464,0.209753556584,0.228373672256,0.278498125176,0.391874363991,0.571199475487,0.740008548869,0.836885585657,0.877541836048,0.892324287609,0.897413749275,0.10630684813,0.116300533507,0.141396458134,0.200725565386,0.323000340053,0.51638244691,0.723112732681,0.869227126268,0.945037583543,0.978148341919,0.991512676602
p023,0.00962618726813,0.0233395628582,0.0554942145274,0.12622278697,0.262082856978,0.466160621977,0.682230511121,0.840727022294,0.928458869568,0.969612337277,0.987413520575,0.106177185646,0.114542102745,0.133593666516,0.174431444125,0.25162380315,0.368042987508,0.495086111323,0.592930138894,0.649970781572,0.677980887371,0.690577514503,0.00921375996949,0.0223347242803,0.0531386216416,0.121161939617,0.25299604798,0.454149036112,0.671473155582,0.833914966629,0.925007072817,0.968052228916,0.986743991084
p024,0.069436166366,0.0930355738759,0.142442849812,0.23688455264,0.389601462694,0.580378929641,0.754614165998,0.873727501012,0.939949365553,0.972597409189,0.987740042943,0.45242492167,0.455732985999,0.463443101461,0.480932993115,0.51828199831,0.588678607047,0.694773762169,0.810832129313,0.90066895774,0.953356787879,0.979376500821,0.102661026211,0.108519983956,0.126892394834,0.181271139767,0.318136460711,0.556871993385,0.791800017556,0.923133702794,0.974656388288,0.991980416564,0.997496229143
p025,0.159107269916,0.169128847978,0.189588849896,0.229550728273,0.301262094825,0.412324720664,0.550400409728,0.681887318524,0.778880448589,0.83778649308,0.869436142157,0.355782706156,0.360542345418,0.368967006266,0.383348396231,0.406444113697,0.440128590909,0.482942621761,0.528770551893,0.569627213734,0.600525107964,0.621107455964,0.21189940569,0.223600345927,0.246133549571,0.287749497553,0.358988911386,0.466429587264,0.601050037165,0.735433036591,0.842344525324,0.913067485065,0.954320821331
p026,0.122713064745,0.144397987496,0.184785359814,0.255245625057,0.365211679052,0.510171344066,0.663970284416,0.793759850318,0.88375204312,0.937986498468,0.967952953682,0.173591069155,0.190832653111,0.219281594581,0.263847158707,0.328278972072,0.411397624589,0.504172942646,0.592390570639,0.66437499656,0.716131995113,0.750055387206,0.00446372056371,0.0123309366641,0.0335960352269,0.0882565016083,0.212311395341,0.428741839805,0.676356187475,0.85335223084,0.941870874236,0.978316123418,0.992102862318
p027,0.190662807302,0.242626310843,0.316409084922,0.412606551633,0.524981111423,0.640575419758,0.744923726529,0.828583932687,0.8895062443,0.930831942337,0.957532824518,0.262373308968,0.315797288945,0.401566553252,0.518917845132,0.648694221181,0.762385350896,0.843372126459,0.892946295926,0.920527916405,0.935063102103,0.942504328591,0.150962163602,0.153377654284,0.161773095169,0.190048975165,0.276025766436,0.472975985431,0.730796554271,0.901109162782,0.969357592313,0.991065390479,0.997442870894
p028,0.0535419501563,0.0585351408685,0.0704071403482,0.0979051691429,0.157910279071,0.273373416119,0.44999305819,0.643723429308,0.7920352651,0.877319967539,0.918513513921,0.268304319535,0.284116420415,0.312128839333,0.358722713433,0.428653521559,0.518940730777,0.615297651331,0.699322058148,0.76062511503,0.799775026473,0.822692761315,0.055246307575,0.0622125935871,0.0781533795009,0.113492528827,0.186616711765,0.318454991103,0.506167842348,0.699962923025,0.843755501936,0.926435296965,0.967172902614
p029,0.0554143647388,0.0632734635153,0.0821519624224,0.125710678924,0.217511680417,0.378766403798,0.588436565113,0.77563496626,0.894387893272,0.954249612742,0.980946881026,0.0756769883087,0.0953479113943,0.128650721502,0.182386762467,0.262712131071,0.370039045988,0.493806935402,0.614459061888,0.714271328194,0.786226208252,0.833111412509,0.0114918643027,0.0256141497092,0.0561061983661,0.118483262736,0.233084210821,0.407313578146,0.608452730017,0.778458898847,0.888211693935,0.947274926142,0.975976202992
p030,0.367187787155,0.400636530383,0.445711808464,0.501905059867,0.565535745952,0.630197481873,0.689068993495,0.737542680306,0.774258089974,0.800346842834,0.818054800398,0.622062044571,0.644199084879,0.670960019081,0.702074038047,0.736651410624,0.77320069739,0.809845194607,0.844688819229,0.876189911211,0.903396265797,0.925980844644,0.196034192816,0.23872974814,0.312996043731,0.42681949482,0.571375699198,0.716775448759,0.832462749535,0.908522654669,0.952457749457,0.975960286284,0.98801781717
