,fearLOW,fearLOW,fearLOW,fearLOW,fearLOW,fearLOW,fearLOW,fearLOW,fearLOW,fearLOW,fearLOW,angerLOW,angerLOW,angerLOW,angerLOW,angerLOW,angerLOW,angerLOW,angerLOW,angerLOW,angerLOW,angerLOW,fearUP,fearUP,fearUP,fearUP,fearUP,fearUP,fearUP,fearUP,fearUP,fearUP,fearUP,angerUP,angerUP,angerUP,angerUP,angerUP,angerUP,angerUP,angerUP,angerUP,angerUP,angerUP
grade,m00,m01,m02,m03,m04,m05,m06,m07,m08,m09,m10,m00,m01,m02,m03,m04,m05,m06,m07,m08,m09,m10,m00,m01,m02,m03,m04,m05,m06,m07,m08,m09,m10,m00,m01,m02,m03,m04,m05,m06,m07,m08,m09,m10
p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p019,818.05,932.0,987.25,836.95,830.2,899.25,1016.3,831.95,860.65,774.3,771.25,865.75,842.15,1020.4,916.45,988.3,983.1,970.8,914.55,945.2,852.15,751.35,1098.25,956.1,937.65,993.1,945.8,1174.65,957.65,945.4,832.9,790.0,978.3,919.85,954.95,900.85,888.35,915.5,864.35,892.05,835.15,754.9,776.05,944.75
p020,1268.4,1107.35,1121.3,1247.2,1123.5,1123.25,1035.0,1297.4,1059.15,1093.75,1051.75,980.2,1210.55,1229.8,1336.15,1240.2,1205.85,1280.4,1231.75,1283.4,1075.75,1166.5,1405.7,1447.55,1210.75,1179.65,1467.2,1489.6,1299.15,1311.45,1242.75,1319.9,1061.55,1390.8,1207.2,1372.85,1312.5,1244.8,1412.25,1638.5,1402.05,1565.95,1307.15,1302.1
p021,916.3,827.9,856.05,871.7,1034.9,1115.65,1199.8,1244.7,898.5,888.85,911.05,906.7,1072.55,1279.65,1051.1,862.1,998.45,1059.95,920.5,951.3,865.25,792.25,881.55,986.25,1126.55,1026.5,961.5,978.95,1001.75,1032.2,1007.1,1016.95,1196.75,1325.65,968.15,953.0,1039.95,892.5,1122.5,719.95,981.7,763.1,786.05,834.9
p022,756.15,719.1,857.0,716.15,755.9,717.95,797.05,774.6,716.0,612.6,684.8,839.5,759.3,660.15,762.6,710.9,795.6,670.3,751.9,742.75,731.25,680.95,394.45,447.25,500.7,397.0,271.45,442.2,450.25,329.6,291.25,396.4,426.0,470.9,571.2,329.0,504.35,516.1,423.2,431.8,304.95,429.65,363.5,452.8
p023,972.15,915.8,1080.05,1126.0,1120.65,1106.35,1442.8,1416.1,1275.25,1314.45,1031.15,1016.9,1056.0,1217.4,1094.05,1203.1,1248.35,1289.4,1131.6,1108.1,1353.15,1096.8,823.45,842.2,952.1,975.1,1174.95,1410.45,967.3,958.6,1155.1,1439.25,1145.4,1060.7,896.6,1004.55,1045.4,1148.2,979.05,1199.2,1052.4,915.65,992.6,852.45
p024,1079.3,1058.15,1062.3,1311.3,1172.75,1540.55,1289.4,1225.7,1223.15,1033.55,984.1,1080.1,1267.2,1288.35,1241.1,1258.2,1257.65,1293.3,1076.2,1133.05,1027.0,1088.35,903.2,989.0,1201.15,1340.45,1365.4,1059.45,1077.8,1030.8,1213.4,1072.3,1396.5,1809.45,1496.2,1201.25,1102.95,1163.5,1345.2,1382.8,1223.4,1346.3,1160.05,1178.4
p025,1327.15,1403.6,1479.35,1488.55,1643.0,1548.15,1453.1,1700.55,1540.2,1472.2,1543.2,1438.4,1457.35,1520.05,1527.25,1238.3,1388.85,1399.15,1450.75,1453.55,1545.6,1303.75,1285.5,1439.45,1119.2,1324.5,1335.25,1430.25,1292.5,1463.4,1082.75,1327.9,1155.7,1414.4,1455.25,1387.6,1748.4,1346.15,1242.4,1218.5,1171.15,1272.3,1125.0,1238.45
p026,1392.55,1371.75,1473.95,1485.25,1459.5,2056.45,1631.65,1713.75,1478.95,1328.1,1496.7,1438.75,1589.45,1311.5,1320.45,1621.4,1922.5,1852.65,1422.65,1096.35,1175.4,971.7,1725.75,1902.6,1583.25,2179.1,1439.1,1997.25,1821.25,1292.75,1936.9,2079.75,1663.1,1976.7,1412.55,1543.75,1840.55,1371.25,1192.15,1229.6,1147.25,1295.4,1112.3,1112.9
p027,755.6,801.2,787.2,852.15,903.1,802.5,799.45,996.45,757.55,876.95,831.5,885.2,793.7,783.0,859.2,839.25,758.35,744.6,800.5,798.1,853.4,743.8,831.75,891.3,805.9,780.55,751.25,653.65,1215.8,777.45,951.65,838.1,839.5,1019.7,812.4,852.55,851.75,886.55,729.35,700.45,831.3,786.85,911.8,814.1
p028,1316.7,1271.1,1324.6,1690.85,1838.1,1872.45,1659.25,1216.5,980.05,992.25,887.4,1336.15,1636.25,1583.75,1451.4,1760.15,1463.75,1541.4,1011.2,971.5,1066.85,794.95,1732.3,2589.2,1832.95,2243.25,2886.2,3539.15,2184.9,3105.8,1751.1,1735.45,1837.5,2845.25,2090.8,2479.45,2774.15,1566.5,1719.2,1144.15,1204.15,1299.1,1110.35,989.2
p029,1265.45,1266.6,1328.75,1173.8,1530.7,1541.85,1564.95,1505.55,1319.35,1188.65,1229.3,1125.2,1302.8,1284.25,1399.95,1739.7,1490.35,1536.25,1264.0,1118.15,1134.5,1056.1,1594.1,1352.3,1269.15,1101.55,1600.35,1359.25,938.3,1344.65,1214.25,1310.8,1472.6,1280.2,1389.6,1063.7,1149.85,1093.85,1111.95,1024.65,1050.4,961.7,1060.9,1193.3
p030,925.8,949.35,954.15,1207.25,1136.65,1303.6,1150.25,1100.25,1061.6,1223.15,955.3,1026.8,981.35,948.65,1182.7,1045.8,1139.9,1304.0,948.0,1062.35,914.55,888.75,1637.35,1515.65,2035.4,1494.3,2716.15,1652.2,1981.45,1994.75,2125.4,1738.4,1702.3,1690.65,2107.9,1736.25,1946.95,1388.35,1669.0,2355.7,1347.4,1896.6,1587.55,1624.3
