,whole,whole,whole,whole,whole,whole,whole,whole,whole,whole,whole,mouth,mouth,mouth,mouth,mouth,mouth,mouth,mouth,mouth,mouth,mouth,eyes,eyes,eyes,eyes,eyes,eyes,eyes,eyes,eyes,eyes,eyes
grade,m00,m01,m02,m03,m04,m05,m06,m07,m08,m09,m10,m00,m01,m02,m03,m04,m05,m06,m07,m08,m09,m10,m00,m01,m02,m03,m04,m05,m06,m07,m08,m09,m10
p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p001,10.0,15.0,25.0,25.0,35.0,60.0,65.0,90.0,100.0,100.0,100.0,20.0,40.0,35.0,40.0,45.0,50.0,80.0,75.0,85.0,70.0,75.0,15.0,0.0,20.0,20.0,40.0,30.0,50.0,85.0,85.0,100.0,95.0
p002,20.0,0.0,5.0,20.0,20.0,30.0,60.0,70.0,85.0,95.0,100.0,25.0,25.0,35.0,35.0,40.0,60.0,80.0,75.0,85.0,75.0,90.0,15.0,25.0,35.0,35.0,40.0,65.0,75.0,90.0,90.0,90.0,85.0
p003,15.0,10.0,5.0,20.0,35.0,75.0,75.0,100.0,100.0,100.0,100.0,15.0,30.0,35.0,50.0,50.0,45.0,70.0,55.0,55.0,75.0,80.0,30.0,25.0,50.0,60.0,65.0,65.0,90.0,70.0,80.0,100.0,95.0
p004,0.0,5.0,25.0,10.0,35.0,25.0,55.0,70.0,90.0,80.0,85.0,15.0,25.0,35.0,25.0,25.0,40.0,50.0,45.0,65.0,45.0,60.0,30.0,25.0,40.0,40.0,25.0,65.0,75.0,45.0,75.0,80.0,90.0
p005,0.0,0.0,5.0,20.0,15.0,20.0,40.0,60.0,90.0,85.0,80.0,20.0,20.0,35.0,35.0,45.0,40.0,50.0,45.0,65.0,70.0,55.0,0.0,0.0,15.0,25.0,30.0,35.0,40.0,65.0,70.0,90.0,85.0
p006,5.0,10.0,5.0,10.0,20.0,55.0,75.0,100.0,95.0,100.0,100.0,20.0,15.0,30.0,45.0,45.0,55.0,70.0,70.0,70.0,90.0,90.0,5.0,5.0,5.0,10.0,45.0,50.0,70.0,80.0,100.0,95.0,100.0
p007,20.0,5.0,15.0,20.0,10.0,40.0,70.0,75.0,90.0,100.0,95.0,35.0,50.0,55.0,55.0,60.0,65.0,70.0,90.0,100.0,85.0,95.0,10.0,10.0,20.0,20.0,25.0,45.0,65.0,70.0,95.0,95.0,95.0
p008,15.0,20.0,15.0,25.0,35.0,60.0,50.0,80.0,95.0,95.0,100.0,55.0,70.0,60.0,65.0,70.0,75.0,75.0,95.0,90.0,95.0,90.0,15.0,15.0,30.0,35.0,30.0,45.0,65.0,70.0,100.0,90.0,100.0
